FILE=\sensor1_sn3775_2019_10_17_17_31_11.csv
Thu Oct 17 17:31:05 2019

TimeStamp,Sample,Event,Motion,txl1,txl2,txl3,txl4,txl5,txl6,txl7,txl8,txl9,txl10,txl11,txl12,txl13,txl14,txl15,txl16,txl17,txl18,txl19,txl20,txl21,txl22,txl23,txl24,
17.31.25.843,141,0,0,344,436,414,285,305,340,307,297,306,285,309,228,412,345,370,430,301,285,256,284,283,376,270,297,
17.31.25.943,142,0,0,343,428,407,283,303,332,305,298,307,284,309,229,408,343,363,428,298,278,255,285,282,375,269,295,
17.31.26.043,143,0,0,340,421,403,283,301,328,305,299,306,285,311,231,405,340,354,424,294,270,252,284,282,373,267,296,
17.31.26.145,144,0,0,337,409,398,284,300,325,305,300,308,284,311,233,400,338,349,422,292,268,253,283,283,373,268,297,
17.31.26.244,145,0,0,336,403,393,283,299,323,303,301,307,283,309,231,400,338,349,422,292,268,253,283,283,373,268,297,
17.31.26.344,146,0,0,333,394,391,283,299,323,303,300,310,284,312,233,395,336,347,420,291,265,254,284,281,372,267,295,
17.31.26.444,147,0,0,331,394,390,283,299,323,303,303,308,283,310,232,392,334,342,418,288,263,252,283,279,370,266,293,
17.31.26.543,148,0,0,331,393,387,282,297,321,301,301,308,281,309,232,391,334,339,417,288,262,251,282,281,371,265,294,
17.31.26.643,149,0,0,329,390,387,281,296,318,301,301,306,280,309,232,389,333,338,415,287,261,253,282,279,370,267,295,
17.31.26.743,150,0,0,329,389,386,281,295,319,300,301,307,280,310,234,387,333,337,415,286,262,252,283,281,371,266,295,
17.31.26.843,151,0,0,329,389,386,282,296,319,301,302,307,280,309,234,387,333,336,415,287,261,253,283,280,369,264,293,
17.31.26.943,152,0,0,330,390,386,282,295,318,301,302,307,280,308,233,386,333,334,414,286,260,251,282,280,368,262,293,
17.31.27.043,153,0,0,329,390,386,281,296,318,299,301,306,278,308,232,383,332,333,413,285,259,251,282,280,368,263,295,
17.31.27.144,154,0,0,329,389,384,281,294,317,298,300,306,278,308,234,382,330,332,413,284,259,251,282,280,369,264,294,
17.31.27.244,155,0,0,329,389,384,281,293,316,300,300,306,278,308,234,380,331,331,413,285,259,252,283,281,369,264,293,
17.31.27.344,156,0,0,329,389,384,281,293,316,300,301,305,277,307,232,380,330,331,413,284,258,249,282,280,367,265,294,
17.31.27.443,157,0,0,330,391,385,282,293,315,299,301,304,276,306,230,380,331,331,413,286,259,251,282,281,369,265,295,
17.31.27.543,158,0,0,331,392,385,280,293,315,297,299,304,276,306,231,378,332,330,412,285,258,252,283,282,368,264,295,
17.31.27.643,159,0,0,331,392,383,281,293,315,297,299,303,275,305,232,378,332,330,412,284,258,251,282,281,366,263,294,
17.31.27.743,160,0,0,330,392,384,281,293,314,299,300,304,276,306,232,376,330,329,412,284,256,250,282,281,367,262,295,
17.31.27.842,161,0,0,331,393,384,282,293,315,297,301,304,275,306,232,375,330,328,412,284,258,251,283,282,367,265,296,
17.31.27.942,162,0,0,331,394,384,282,292,314,297,301,302,273,305,231,375,330,329,412,284,258,251,283,281,366,265,295,
17.31.28.042,163,0,0,331,393,382,280,291,313,296,299,302,274,305,231,374,332,329,412,284,256,251,283,282,367,262,294,
17.31.28.143,164,0,0,329,393,382,280,290,313,296,301,303,274,306,231,374,332,329,411,284,256,249,282,281,365,262,293,
17.31.28.244,165,0,0,329,392,382,280,291,314,297,301,303,274,306,232,373,330,329,412,283,256,250,282,280,367,262,294,
17.31.28.343,166,0,0,331,394,383,281,292,313,297,300,302,272,305,231,373,330,329,412,283,256,250,282,280,367,262,294,
17.31.28.443,167,0,0,330,393,382,280,291,313,297,302,303,275,307,233,373,330,329,411,284,256,251,282,280,365,262,294,
17.31.28.543,168,0,0,328,393,382,280,291,313,297,303,304,272,307,233,374,331,328,412,283,256,249,280,280,363,261,292,
17.31.28.643,169,0,0,329,393,382,281,290,313,297,300,303,272,305,232,372,330,327,411,284,255,249,281,279,363,261,293,
17.31.28.742,170,0,0,329,392,380,279,289,311,296,300,302,272,304,232,372,330,328,412,283,256,249,282,281,364,262,295,
17.31.28.842,171,0,0,328,392,382,280,289,311,296,301,303,273,306,233,373,331,328,412,284,254,249,282,280,363,261,293,
17.31.28.942,172,0,0,329,393,381,280,290,312,297,303,303,273,305,234,374,332,329,412,284,256,250,281,279,363,261,293,
17.31.29.042,173,0,0,329,393,382,282,290,311,296,302,304,273,307,233,374,332,329,412,283,254,248,280,279,362,261,292,
17.31.29.142,174,0,0,330,394,381,280,290,312,297,301,302,271,304,232,372,331,327,410,282,254,247,279,278,363,260,293,
17.31.29.243,175,0,0,329,393,382,280,290,311,295,299,302,270,304,234,372,330,326,410,282,253,247,280,280,363,261,293,
17.31.29.344,176,0,0,329,393,382,281,289,311,297,299,302,270,304,234,370,329,326,410,282,254,249,282,281,363,262,292,
17.31.29.443,177,0,0,329,393,382,281,289,311,297,301,302,272,304,232,370,330,327,410,283,254,247,280,280,362,261,292,
17.31.29.542,178,0,0,330,395,382,281,290,311,296,299,302,269,304,231,370,328,327,410,282,254,249,282,281,362,263,295,
